"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc case","point",NA,"2021-07-03","2021-06-28",2738
"GM","1 wk ahead inc case","quantile",0.01,"2021-07-03","2021-06-28",1397
"GM","1 wk ahead inc case","quantile",0.025,"2021-07-03","2021-06-28",1540
"GM","1 wk ahead inc case","quantile",0.05,"2021-07-03","2021-06-28",1703
"GM","1 wk ahead inc case","quantile",0.1,"2021-07-03","2021-06-28",1871
"GM","1 wk ahead inc case","quantile",0.15,"2021-07-03","2021-06-28",2036
"GM","1 wk ahead inc case","quantile",0.2,"2021-07-03","2021-06-28",2146
"GM","1 wk ahead inc case","quantile",0.25,"2021-07-03","2021-06-28",2260
"GM","1 wk ahead inc case","quantile",0.3,"2021-07-03","2021-06-28",2332
"GM","1 wk ahead inc case","quantile",0.35,"2021-07-03","2021-06-28",2436
"GM","1 wk ahead inc case","quantile",0.4,"2021-07-03","2021-06-28",2520
"GM","1 wk ahead inc case","quantile",0.45,"2021-07-03","2021-06-28",2636
"GM","1 wk ahead inc case","quantile",0.5,"2021-07-03","2021-06-28",2738
"GM","1 wk ahead inc case","quantile",0.55,"2021-07-03","2021-06-28",2837
"GM","1 wk ahead inc case","quantile",0.6,"2021-07-03","2021-06-28",2945
"GM","1 wk ahead inc case","quantile",0.65,"2021-07-03","2021-06-28",3063
"GM","1 wk ahead inc case","quantile",0.7,"2021-07-03","2021-06-28",3177
"GM","1 wk ahead inc case","quantile",0.75,"2021-07-03","2021-06-28",3304
"GM","1 wk ahead inc case","quantile",0.8,"2021-07-03","2021-06-28",3436
"GM","1 wk ahead inc case","quantile",0.85,"2021-07-03","2021-06-28",3610
"GM","1 wk ahead inc case","quantile",0.9,"2021-07-03","2021-06-28",3810
"GM","1 wk ahead inc case","quantile",0.95,"2021-07-03","2021-06-28",4174
"GM","1 wk ahead inc case","quantile",0.975,"2021-07-03","2021-06-28",4560
"GM","1 wk ahead inc case","quantile",0.99,"2021-07-03","2021-06-28",4994
"GM","2 wk ahead inc case","point",NA,"2021-07-10","2021-06-28",1580
"GM","2 wk ahead inc case","quantile",0.01,"2021-07-10","2021-06-28",767
"GM","2 wk ahead inc case","quantile",0.025,"2021-07-10","2021-06-28",840
"GM","2 wk ahead inc case","quantile",0.05,"2021-07-10","2021-06-28",926
"GM","2 wk ahead inc case","quantile",0.1,"2021-07-10","2021-06-28",1048
"GM","2 wk ahead inc case","quantile",0.15,"2021-07-10","2021-06-28",1142
"GM","2 wk ahead inc case","quantile",0.2,"2021-07-10","2021-06-28",1208
"GM","2 wk ahead inc case","quantile",0.25,"2021-07-10","2021-06-28",1274
"GM","2 wk ahead inc case","quantile",0.3,"2021-07-10","2021-06-28",1339
"GM","2 wk ahead inc case","quantile",0.35,"2021-07-10","2021-06-28",1407
"GM","2 wk ahead inc case","quantile",0.4,"2021-07-10","2021-06-28",1472
"GM","2 wk ahead inc case","quantile",0.45,"2021-07-10","2021-06-28",1533
"GM","2 wk ahead inc case","quantile",0.5,"2021-07-10","2021-06-28",1580
"GM","2 wk ahead inc case","quantile",0.55,"2021-07-10","2021-06-28",1640
"GM","2 wk ahead inc case","quantile",0.6,"2021-07-10","2021-06-28",1714
"GM","2 wk ahead inc case","quantile",0.65,"2021-07-10","2021-06-28",1784
"GM","2 wk ahead inc case","quantile",0.7,"2021-07-10","2021-06-28",1864
"GM","2 wk ahead inc case","quantile",0.75,"2021-07-10","2021-06-28",1946
"GM","2 wk ahead inc case","quantile",0.8,"2021-07-10","2021-06-28",2047
"GM","2 wk ahead inc case","quantile",0.85,"2021-07-10","2021-06-28",2156
