"location","target","type","quantile","target_end_date","forecast_date","value"
"PL","1 wk ahead inc case","point",NA,"2021-07-24","2021-07-19",703
"PL","1 wk ahead inc case","quantile",0.01,"2021-07-24","2021-07-19",506
"PL","1 wk ahead inc case","quantile",0.025,"2021-07-24","2021-07-19",532
"PL","1 wk ahead inc case","quantile",0.05,"2021-07-24","2021-07-19",557
"PL","1 wk ahead inc case","quantile",0.1,"2021-07-24","2021-07-19",589
"PL","1 wk ahead inc case","quantile",0.15,"2021-07-24","2021-07-19",613
"PL","1 wk ahead inc case","quantile",0.2,"2021-07-24","2021-07-19",628
"PL","1 wk ahead inc case","quantile",0.25,"2021-07-24","2021-07-19",643
"PL","1 wk ahead inc case","quantile",0.3,"2021-07-24","2021-07-19",655
"PL","1 wk ahead inc case","quantile",0.35,"2021-07-24","2021-07-19",667
"PL","1 wk ahead inc case","quantile",0.4,"2021-07-24","2021-07-19",683
"PL","1 wk ahead inc case","quantile",0.45,"2021-07-24","2021-07-19",692
"PL","1 wk ahead inc case","quantile",0.5,"2021-07-24","2021-07-19",703
"PL","1 wk ahead inc case","quantile",0.55,"2021-07-24","2021-07-19",715
"PL","1 wk ahead inc case","quantile",0.6,"2021-07-24","2021-07-19",729
"PL","1 wk ahead inc case","quantile",0.65,"2021-07-24","2021-07-19",742
"PL","1 wk ahead inc case","quantile",0.7,"2021-07-24","2021-07-19",754
"PL","1 wk ahead inc case","quantile",0.75,"2021-07-24","2021-07-19",771
"PL","1 wk ahead inc case","quantile",0.8,"2021-07-24","2021-07-19",789
"PL","1 wk ahead inc case","quantile",0.85,"2021-07-24","2021-07-19",816
"PL","1 wk ahead inc case","quantile",0.9,"2021-07-24","2021-07-19",844
"PL","1 wk ahead inc case","quantile",0.95,"2021-07-24","2021-07-19",882
"PL","1 wk ahead inc case","quantile",0.975,"2021-07-24","2021-07-19",915
"PL","1 wk ahead inc case","quantile",0.99,"2021-07-24","2021-07-19",964
"PL","2 wk ahead inc case","point",NA,"2021-07-31","2021-07-19",894
"PL","2 wk ahead inc case","quantile",0.01,"2021-07-31","2021-07-19",549
"PL","2 wk ahead inc case","quantile",0.025,"2021-07-31","2021-07-19",591
"PL","2 wk ahead inc case","quantile",0.05,"2021-07-31","2021-07-19",630
"PL","2 wk ahead inc case","quantile",0.1,"2021-07-31","2021-07-19",679
"PL","2 wk ahead inc case","quantile",0.15,"2021-07-31","2021-07-19",720
"PL","2 wk ahead inc case","quantile",0.2,"2021-07-31","2021-07-19",751
"PL","2 wk ahead inc case","quantile",0.25,"2021-07-31","2021-07-19",782
"PL","2 wk ahead inc case","quantile",0.3,"2021-07-31","2021-07-19",805
"PL","2 wk ahead inc case","quantile",0.35,"2021-07-31","2021-07-19",827
"PL","2 wk ahead inc case","quantile",0.4,"2021-07-31","2021-07-19",850
"PL","2 wk ahead inc case","quantile",0.45,"2021-07-31","2021-07-19",872
"PL","2 wk ahead inc case","quantile",0.5,"2021-07-31","2021-07-19",894
"PL","2 wk ahead inc case","quantile",0.55,"2021-07-31","2021-07-19",917
"PL","2 wk ahead inc case","quantile",0.6,"2021-07-31","2021-07-19",947
"PL","2 wk ahead inc case","quantile",0.65,"2021-07-31","2021-07-19",971
"PL","2 wk ahead inc case","quantile",0.7,"2021-07-31","2021-07-19",995
"PL","2 wk ahead inc case","quantile",0.75,"2021-07-31","2021-07-19",1029
"PL","2 wk ahead inc case","quantile",0.8,"2021-07-31","2021-07-19",1067
"PL","2 wk ahead inc case","quantile",0.85,"2021-07-31","2021-07-19",1118
"PL","2 wk ahead inc case","quantile",0.9,"2021-07-31","2021-07-19",1163
"PL","2 wk ahead inc case","quantile",0.95,"2021-07-31","2021-07-19",1256
"PL","2 wk ahead inc case","quantile",0.975,"2021-07-31","2021-07-19",1314
"PL","2 wk ahead inc case","quantile",0.99,"2021-07-31","2021-07-19",1399
"PL","3 wk ahead inc case","point",NA,"2021-08-07","2021-07-19",1068
"PL","3 wk ahead inc case","quantile",0.01,"2021-08-07","2021-07-19",505
"PL","3 wk ahead inc case","quantile",0.025,"2021-08-07","2021-07-19",563
"PL","3 wk ahead inc case","quantile",0.05,"2021-08-07","2021-07-19",625
"PL","3 wk ahead inc case","quantile",0.1,"2021-08-07","2021-07-19",711
"PL","3 wk ahead inc case","quantile",0.15,"2021-08-07","2021-07-19",775
"PL","3 wk ahead inc case","quantile",0.2,"2021-08-07","2021-07-19",824
"PL","3 wk ahead inc case","quantile",0.25,"2021-08-07","2021-07-19",861
"PL","3 wk ahead inc case","quantile",0.3,"2021-08-07","2021-07-19",902
"PL","3 wk ahead inc case","quantile",0.35,"2021-08-07","2021-07-19",941
"PL","3 wk ahead inc case","quantile",0.4,"2021-08-07","2021-07-19",980
"PL","3 wk ahead inc case","quantile",0.45,"2021-08-07","2021-07-19",1025
"PL","3 wk ahead inc case","quantile",0.5,"2021-08-07","2021-07-19",1068
"PL","3 wk ahead inc case","quantile",0.55,"2021-08-07","2021-07-19",1107
"PL","3 wk ahead inc case","quantile",0.6,"2021-08-07","2021-07-19",1152
"PL","3 wk ahead inc case","quantile",0.65,"2021-08-07","2021-07-19",1195
"PL","3 wk ahead inc case","quantile",0.7,"2021-08-07","2021-07-19",1248
"PL","3 wk ahead inc case","quantile",0.75,"2021-08-07","2021-07-19",1323
"PL","3 wk ahead inc case","quantile",0.8,"2021-08-07","2021-07-19",1386
"PL","3 wk ahead inc case","quantile",0.85,"2021-08-07","2021-07-19",1458
"PL","3 wk ahead inc case","quantile",0.9,"2021-08-07","2021-07-19",1559
"PL","3 wk ahead inc case","quantile",0.95,"2021-08-07","2021-07-19",1746
"PL","3 wk ahead inc case","quantile",0.975,"2021-08-07","2021-07-19",1885
"PL","3 wk ahead inc case","quantile",0.99,"2021-08-07","2021-07-19",2141
"PL","4 wk ahead inc case","point",NA,"2021-08-14","2021-07-19",1138
"PL","4 wk ahead inc case","quantile",0.01,"2021-08-14","2021-07-19",369
"PL","4 wk ahead inc case","quantile",0.025,"2021-08-14","2021-07-19",444
"PL","4 wk ahead inc case","quantile",0.05,"2021-08-14","2021-07-19",527
"PL","4 wk ahead inc case","quantile",0.1,"2021-08-14","2021-07-19",633
"PL","4 wk ahead inc case","quantile",0.15,"2021-08-14","2021-07-19",714
"PL","4 wk ahead inc case","quantile",0.2,"2021-08-14","2021-07-19",778
"PL","4 wk ahead inc case","quantile",0.25,"2021-08-14","2021-07-19",836
"PL","4 wk ahead inc case","quantile",0.3,"2021-08-14","2021-07-19",903
"PL","4 wk ahead inc case","quantile",0.35,"2021-08-14","2021-07-19",970
"PL","4 wk ahead inc case","quantile",0.4,"2021-08-14","2021-07-19",1017
"PL","4 wk ahead inc case","quantile",0.45,"2021-08-14","2021-07-19",1077
"PL","4 wk ahead inc case","quantile",0.5,"2021-08-14","2021-07-19",1138
"PL","4 wk ahead inc case","quantile",0.55,"2021-08-14","2021-07-19",1207
"PL","4 wk ahead inc case","quantile",0.6,"2021-08-14","2021-07-19",1277
"PL","4 wk ahead inc case","quantile",0.65,"2021-08-14","2021-07-19",1350
"PL","4 wk ahead inc case","quantile",0.7,"2021-08-14","2021-07-19",1432
"PL","4 wk ahead inc case","quantile",0.75,"2021-08-14","2021-07-19",1549
"PL","4 wk ahead inc case","quantile",0.8,"2021-08-14","2021-07-19",1667
"PL","4 wk ahead inc case","quantile",0.85,"2021-08-14","2021-07-19",1809
"PL","4 wk ahead inc case","quantile",0.9,"2021-08-14","2021-07-19",2000
"PL","4 wk ahead inc case","quantile",0.95,"2021-08-14","2021-07-19",2352
"PL","4 wk ahead inc case","quantile",0.975,"2021-08-14","2021-07-19",2659
"PL","4 wk ahead inc case","quantile",0.99,"2021-08-14","2021-07-19",3187
