"location","target","type","quantile","target_end_date","forecast_date","value"
"GM","1 wk ahead inc death","point",NA,"2021-08-21","2021-08-16",444
"GM","1 wk ahead inc death","quantile",0.01,"2021-08-21","2021-08-16",125
"GM","1 wk ahead inc death","quantile",0.025,"2021-08-21","2021-08-16",156
"GM","1 wk ahead inc death","quantile",0.05,"2021-08-21","2021-08-16",192
"GM","1 wk ahead inc death","quantile",0.1,"2021-08-21","2021-08-16",230
"GM","1 wk ahead inc death","quantile",0.15,"2021-08-21","2021-08-16",261
"GM","1 wk ahead inc death","quantile",0.2,"2021-08-21","2021-08-16",286
"GM","1 wk ahead inc death","quantile",0.25,"2021-08-21","2021-08-16",314
"GM","1 wk ahead inc death","quantile",0.3,"2021-08-21","2021-08-16",335
"GM","1 wk ahead inc death","quantile",0.35,"2021-08-21","2021-08-16",354
"GM","1 wk ahead inc death","quantile",0.4,"2021-08-21","2021-08-16",377
"GM","1 wk ahead inc death","quantile",0.45,"2021-08-21","2021-08-16",405
"GM","1 wk ahead inc death","quantile",0.5,"2021-08-21","2021-08-16",444
"GM","1 wk ahead inc death","quantile",0.55,"2021-08-21","2021-08-16",471
"GM","1 wk ahead inc death","quantile",0.6,"2021-08-21","2021-08-16",498
"GM","1 wk ahead inc death","quantile",0.65,"2021-08-21","2021-08-16",527
"GM","1 wk ahead inc death","quantile",0.7,"2021-08-21","2021-08-16",566
"GM","1 wk ahead inc death","quantile",0.75,"2021-08-21","2021-08-16",599
"GM","1 wk ahead inc death","quantile",0.8,"2021-08-21","2021-08-16",649
"GM","1 wk ahead inc death","quantile",0.85,"2021-08-21","2021-08-16",724
"GM","1 wk ahead inc death","quantile",0.9,"2021-08-21","2021-08-16",814
"GM","1 wk ahead inc death","quantile",0.95,"2021-08-21","2021-08-16",931
"GM","1 wk ahead inc death","quantile",0.975,"2021-08-21","2021-08-16",1119
"GM","1 wk ahead inc death","quantile",0.99,"2021-08-21","2021-08-16",1407
"GM","2 wk ahead inc death","point",NA,"2021-08-28","2021-08-16",593
"GM","2 wk ahead inc death","quantile",0.01,"2021-08-28","2021-08-16",155
"GM","2 wk ahead inc death","quantile",0.025,"2021-08-28","2021-08-16",185
"GM","2 wk ahead inc death","quantile",0.05,"2021-08-28","2021-08-16",231
"GM","2 wk ahead inc death","quantile",0.1,"2021-08-28","2021-08-16",301
"GM","2 wk ahead inc death","quantile",0.15,"2021-08-28","2021-08-16",345
"GM","2 wk ahead inc death","quantile",0.2,"2021-08-28","2021-08-16",378
"GM","2 wk ahead inc death","quantile",0.25,"2021-08-28","2021-08-16",415
"GM","2 wk ahead inc death","quantile",0.3,"2021-08-28","2021-08-16",449
"GM","2 wk ahead inc death","quantile",0.35,"2021-08-28","2021-08-16",481
"GM","2 wk ahead inc death","quantile",0.4,"2021-08-28","2021-08-16",521
"GM","2 wk ahead inc death","quantile",0.45,"2021-08-28","2021-08-16",553
"GM","2 wk ahead inc death","quantile",0.5,"2021-08-28","2021-08-16",593
"GM","2 wk ahead inc death","quantile",0.55,"2021-08-28","2021-08-16",630
"GM","2 wk ahead inc death","quantile",0.6,"2021-08-28","2021-08-16",670
"GM","2 wk ahead inc death","quantile",0.65,"2021-08-28","2021-08-16",712
"GM","2 wk ahead inc death","quantile",0.7,"2021-08-28","2021-08-16",769
