"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.01,1170.71683173445,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.025,1230.36360782733,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.05,1284.11521125608,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.1,1349.04081527314,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.15,1394.71075257148,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.2,1432.11996280224,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.25,1465.02107898606,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.3,1495.21795342148,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.35,1523.76119227372,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.4,1551.35503956003,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.45,1578.53305232227,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.5,1605.75,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.55,1633.44127564038,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.6,1662.07311264399,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.65,1692.19961035041,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.7,1724.54593166495,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.75,1760.15418183519,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.8,1800.6808856465,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.85,1849.11169349418,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.9,1911.92373296883,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.95,2009.01022804359,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.975,2097.24578601419,"2021-05-10"
"1 wk ahead inc death","2021-05-15","PL","quantile",0.99,2204.77654902356,"2021-05-10"
"2 wk ahead inc death","2021-05-22","PL","quantile",0.01,830.04694799132,"2021-05-10"
"2 wk ahead inc death","2021-05-22","PL","quantile",0.025,883.324944944686,"2021-05-10"
"2 wk ahead inc death","2021-05-22","PL","quantile",0.05,931.95832009285,"2021-05-10"
