"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.01,942.862741139844,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.025,971.625642904281,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.05,997.125672372631,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.1,1027.42963258625,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.15,1048.4386604057,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.2,1065.46780699375,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.25,1080.31602129771,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.3,1093.84111197683,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.35,1106.53773660519,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.4,1118.7330564304,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.45,1130.67056970223,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.5,1142.55333333333,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.55,1154.57113787086,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.6,1166.92253124446,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.65,1179.83877315979,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.7,1193.61775371824,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.75,1208.68251432783,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.8,1225.69958864435,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.85,1245.86181707368,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.9,1271.73988166724,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.95,1311.16604102129,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.975,1346.42879718638,"2021-05-17"
"1 wk ahead inc death","2021-05-22","GM","quantile",0.99,1388.71680122555,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.01,683.822034543095,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.025,718.434031844756,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.05,749.788280740132,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.1,787.866762952222,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.15,814.786927801088,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.2,836.920699661822,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.25,856.44874231226,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.3,874.422300001299,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.35,891.455997581025,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.4,907.964052973771,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.45,924.262562891456,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.5,940.623333333333,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.55,957.309086961856,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.6,974.603733799956,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.65,992.847326616858,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.7,1012.48763657034,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.75,1034.17113983976,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.8,1058.92918092236,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.85,1088.62628728541,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.9,1127.31967395873,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.95,1187.51848861841,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.975,1242.63737029144,"2021-05-17"
"2 wk ahead inc death","2021-05-29","GM","quantile",0.99,1310.32806978243,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.01,470.04028399374,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.025,504.287960781139,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.05,536.177220337171,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.1,576.001811990162,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.15,604.876170785447,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.2,629.060003222305,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.25,650.727005834183,"2021-05-17"
"3 wk ahead inc death","2021-06-05","GM","quantile",0.3,670.941462592937,"2021-05-17"
