"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.01,1321.40398655981,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.025,1360.70848463836,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.05,1395.4463626206,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.1,1436.5989822433,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.15,1465.04792653775,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.2,1488.05950981709,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.25,1508.08924284172,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.3,1526.30622807694,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.35,1543.38335467464,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.4,1559.76451696347,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.45,1575.77894725694,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.5,1591.7,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.55,1607.78191281857,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.6,1624.28934781271,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.65,1641.52923013355,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.7,1659.89553301639,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.75,1679.94626447044,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.8,1702.55885150146,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.85,1729.30103111867,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.9,1763.54634892184,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.95,1815.55447623379,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.975,1861.90423489079,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","quantile",0.99,1917.28564146065,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.01,1077.77697799049,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.025,1125.39475232404,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.05,1168.02803566839,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.1,1219.18978869957,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.15,1254.96850327743,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.2,1284.15165501732,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.25,1309.7284487776,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.3,1333.13105839493,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.35,1355.19018200082,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.4,1376.45954728072,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.45,1397.3555762057,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.5,1418.23,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.55,1439.41625678525,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.6,1461.26803135886,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.65,1484.20226150869,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.7,1508.7611380997,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.75,1535.72012181401,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.8,1566.30747236227,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.85,1602.73052881182,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.9,1649.76474667279,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.95,1722.02744410071,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.975,1787.26293928982,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","quantile",0.99,1866.22684838769,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.01,946.925908415177,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.025,993.119260011785,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.05,1034.6465026604,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.1,1084.68442596068,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.15,1119.80488008972,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.2,1148.52675237609,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.25,1173.75396433876,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.3,1196.88066903534,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.35,1218.71757265733,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.4,1239.80693901289,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.45,1260.55843034627,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.5,1281.32,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.55,1302.42351554383,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.6,1324.22306307396,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.65,1347.13815508561,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.7,1371.71648341789,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.75,1398.743682476,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.8,1429.46687049601,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.85,1466.13126232175,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.9,1513.60239264606,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.95,1586.80374232017,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.975,1653.15587815759,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","quantile",0.99,1733.80084736277,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.01,824.958418082933,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.025,874.764235633801,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.05,919.998520854571,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.1,975.061350004802,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.15,1014.06197363654,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.2,1046.16800170812,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.25,1074.52102438127,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.3,1100.63719642724,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.35,1125.40400751475,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.4,1149.42041353894,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.45,1173.14426257698,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.5,1196.97,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.55,1221.27962144467,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.6,1246.48663276195,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.65,1273.08697261879,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.7,1301.73429132759,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.75,1333.37286883242,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.8,1369.50965672885,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.85,1412.86944797077,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.9,1469.38157367528,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.95,1557.32552653362,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.975,1637.85523291533,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","quantile",0.99,1736.73866402799,"2021-05-17"
"1 wk ahead inc death","2021-05-22","PL","point",NA,1591.7,"2021-05-17"
"2 wk ahead inc death","2021-05-29","PL","point",NA,1418.23,"2021-05-17"
"3 wk ahead inc death","2021-06-05","PL","point",NA,1281.32,"2021-05-17"
"4 wk ahead inc death","2021-06-12","PL","point",NA,1196.97,"2021-05-17"
