"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.01,710,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.025,724,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.05,735,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.1,749,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.15,758,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.2,765,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.25,772,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.3,777,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.35,783,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.4,788,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.45,793,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.5,798,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.55,803,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.6,808,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.65,814,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.7,819,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.75,825,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.8,832,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.85,840,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.9,851,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.95,866,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.975,880,"2021-07-19"
"1 wk ahead inc case","2021-07-24","PL","quantile",0.99,896,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.01,998,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.025,1035,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.05,1069,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.1,1108,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.15,1136,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.2,1158,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.25,1177,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.3,1195,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.35,1212,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.4,1228,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.45,1244,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.5,1260,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.55,1275,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.6,1292,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.65,1309,"2021-07-19"
"2 wk ahead inc case","2021-07-31","PL","quantile",0.7,1327,"2021-07-19"
