"target","target_end_date","location","type","quantile","value","forecast_date"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.01,345,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.025,354,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.05,363,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.1,373,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.15,379,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.2,385,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.25,390,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.3,394,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.35,398,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.4,402,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.45,406,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.5,410,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.55,414,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.6,417,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.65,422,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.7,426,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.75,431,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.8,436,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.85,442,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.9,450,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.95,463,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.975,474,"2021-09-20"
"1 wk ahead inc death","2021-09-25","GM","quantile",0.99,487,"2021-09-20"
"2 wk ahead inc death","2021-10-02","GM","quantile",0.01,364,"2021-09-20"
"2 wk ahead inc death","2021-10-02","GM","quantile",0.025,379,"2021-09-20"
"2 wk ahead inc death","2021-10-02","GM","quantile",0.05,392,"2021-09-20"
"2 wk ahead inc death","2021-10-02","GM","quantile",0.1,407,"2021-09-20"
