"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,3318,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.01,1052,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.025,1276,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.05,1544,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.1,1855,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.15,2074,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.2,2275,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.25,2427,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.3,2602,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.35,2808,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.4,2970,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.45,3150,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.5,3318,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.55,3574,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.6,3741,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.65,3996,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.7,4208,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.75,4550,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.8,4876,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.85,5295,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.9,5822,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.95,6576,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.975,7264,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","quantile",0.99,8567,"2021-12-11","2021-12-06","1 wk ahead inc death"
"PL","point",NA,3570,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.01,1111,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.025,1360,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.05,1600,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.1,1849,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.15,2164,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.2,2367,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.25,2583,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.3,2772,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.35,2979,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.4,3162,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.45,3362,"2021-12-18","2021-12-06","2 wk ahead inc death"
"PL","quantile",0.5,3570,"2021-12-18","2021-12-06","2 wk ahead inc death"
