"location","type","quantile","value","target_end_date","forecast_date","target"
"PL","point",NA,63104,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.01,48821,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.025,49673,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.05,50936,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.1,53102,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.15,54733,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.2,56015,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.25,57419,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.3,58727,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.35,59722,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.4,60884,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.45,62023,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.5,63104,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.55,64282,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.6,65488,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.65,66594,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.7,67945,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.75,68962,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.8,70531,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.85,72248,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.9,74284,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.95,77150,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.975,78960,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","quantile",0.99,80138,"2022-01-01","2021-12-27","1 wk ahead inc case"
"PL","point",NA,36896,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.01,20527,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.025,21475,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.05,22708,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.1,25142,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.15,26791,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.2,28466,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.25,29949,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.3,31211,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.35,32648,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.4,34163,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.45,35411,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.5,36896,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.55,38444,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.6,39939,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.65,41361,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.7,43005,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.75,45075,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.8,47117,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.85,49410,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.9,52315,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.95,56539,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.975,58910,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","quantile",0.99,61255,"2022-01-08","2021-12-27","2 wk ahead inc case"
"PL","point",NA,20920,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.01,7660,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.025,8410,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.05,9380,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.1,11179,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.15,12471,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.2,13823,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.25,14987,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.3,16092,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.35,17232,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.4,18650,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.45,19717,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.5,20920,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.55,22307,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.6,23698,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.65,25116,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.7,26664,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.75,28642,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.8,30817,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.85,33258,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.9,36782,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.95,40903,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.975,43927,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","quantile",0.99,46205,"2022-01-15","2021-12-27","3 wk ahead inc case"
"PL","point",NA,11814,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.01,2949,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.025,3246,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.05,3794,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.1,4871,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.15,5702,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.2,6541,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.25,7386,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.3,8247,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.35,8999,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.4,9911,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.45,10845,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.5,11814,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.55,12772,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.6,13892,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.65,15054,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.7,16531,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.75,18066,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.8,19964,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.85,22310,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.9,25244,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.95,29249,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.975,32090,"2022-01-22","2021-12-27","4 wk ahead inc case"
"PL","quantile",0.99,34719,"2022-01-22","2021-12-27","4 wk ahead inc case"
