"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,580513,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.01,223815,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.025,240779,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.05,257935,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.1,293667,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.15,329788,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.2,361136,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.25,398166,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.3,436652,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.35,470335,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.4,503235,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.45,542069,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.5,580513,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.55,623945,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.6,674685,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.65,731078,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.7,791001,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.75,862547,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.8,954527,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.85,1056901,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.9,1179581,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.95,1413208,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.975,1587691,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","quantile",0.99,1720281,"2022-01-22","2022-01-17","1 wk ahead inc case"
"GM","point",NA,695993,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.01,185210,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.025,211305,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.05,238983,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.1,276472,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.15,325459,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.2,372638,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.25,422364,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.3,473230,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.35,521546,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.4,572563,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.45,625802,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.5,695993,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.55,753587,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.6,835546,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.65,923224,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.7,1027862,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.75,1124747,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.8,1262389,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.85,1417302,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.9,1629275,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.95,1927952,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.975,2122524,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","quantile",0.99,2278616,"2022-01-29","2022-01-17","2 wk ahead inc case"
"GM","point",NA,599325,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.01,152072,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.025,167419,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.05,195178,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.1,246012,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.15,289144,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.2,331913,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.25,368166,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.3,408223,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.35,451427,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.4,492857,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.45,543067,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.5,599325,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.55,658653,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.6,723657,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.65,788400,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.7,866961,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.75,955272,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.8,1060623,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.85,1169518,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.9,1306251,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.95,1490021,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.975,1603982,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","quantile",0.99,1717105,"2022-02-05","2022-01-17","3 wk ahead inc case"
"GM","point",NA,394542,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.01,80752,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.025,91984,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.05,112372,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.1,146627,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.15,182370,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.2,210228,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.25,239810,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.3,268389,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.35,299726,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.4,333072,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.45,363356,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.5,394542,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.55,430659,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.6,470332,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.65,512044,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.7,556294,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.75,599415,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.8,646263,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.85,719973,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.9,810296,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.95,922693,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.975,997143,"2022-02-12","2022-01-17","4 wk ahead inc case"
"GM","quantile",0.99,1044350,"2022-02-12","2022-01-17","4 wk ahead inc case"
