"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,1422,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.01,529,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.025,646,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.05,722,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.1,834,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.15,929,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.2,1000,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.25,1074,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.3,1139,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.35,1202,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.4,1289,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.45,1356,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.5,1422,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.55,1494,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.6,1588,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.65,1666,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.7,1754,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.75,1871,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.8,1982,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.85,2132,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.9,2346,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.95,2773,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.975,3040,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","quantile",0.99,3767,"2022-02-26","2022-02-21","1 wk ahead inc death"
"GM","point",NA,1402,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.01,351,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.025,424,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.05,544,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.1,703,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.15,816,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.2,882,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.25,974,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.3,1054,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.35,1136,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.4,1222,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.45,1295,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.5,1402,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.55,1509,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.6,1606,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.65,1718,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.7,1854,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.75,2011,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.8,2216,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.85,2470,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.9,2774,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.95,3239,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.975,3676,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","quantile",0.99,4523,"2022-03-05","2022-02-21","2 wk ahead inc death"
"GM","point",NA,1372,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.01,218,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.025,270,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.05,361,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.1,483,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.15,585,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.2,697,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.25,800,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.3,930,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.35,1013,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.4,1130,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.45,1250,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.5,1372,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.55,1483,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.6,1650,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.65,1788,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.7,1960,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.75,2133,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.8,2370,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.85,2699,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.9,3121,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.95,3784,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.975,4465,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","quantile",0.99,5255,"2022-03-12","2022-02-21","3 wk ahead inc death"
"GM","point",NA,1181,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.01,88,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.025,147,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.05,195,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.1,294,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.15,411,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.2,497,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.25,592,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.3,696,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.35,800,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.4,907,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.45,1033,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.5,1181,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.55,1310,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.6,1496,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.65,1704,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.7,1939,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.75,2189,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.8,2533,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.85,2960,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.9,3506,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.95,4523,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.975,5735,"2022-03-19","2022-02-21","4 wk ahead inc death"
"GM","quantile",0.99,7442,"2022-03-19","2022-02-21","4 wk ahead inc death"
