"location","type","quantile","value","target_end_date","forecast_date","target"
"GM","point",NA,437,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.01,60,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.025,74,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.05,99,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.1,130,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.15,158,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.2,188,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.25,226,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.3,264,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.35,306,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.4,346,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.45,387,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.5,437,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.55,498,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.6,549,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.65,622,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.7,668,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.75,753,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.8,830,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.85,981,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.9,1158,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.95,1407,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.975,1603,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","quantile",0.99,1967,"2022-06-25","2022-06-20","1 wk ahead inc death"
"GM","point",NA,400,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.01,66,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.025,81,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.05,113,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.1,146,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.15,170,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.2,195,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.25,218,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.3,240,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.35,282,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.4,325,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.45,360,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.5,400,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.55,443,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.6,501,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.65,578,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.7,662,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.75,765,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.8,904,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.85,1091,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.9,1359,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.95,1986,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.975,2873,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","quantile",0.99,4953,"2022-07-02","2022-06-20","2 wk ahead inc death"
"GM","point",NA,378,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.01,49,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.025,67,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.05,93,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.1,124,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.15,158,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.2,187,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.25,214,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.3,247,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.35,278,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.4,314,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.45,345,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.5,378,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.55,422,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.6,480,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.65,551,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.7,645,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.75,786,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.8,1003,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.85,1428,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.9,2078,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.95,3582,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.975,6028,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","quantile",0.99,10052,"2022-07-09","2022-06-20","3 wk ahead inc death"
"GM","point",NA,436,"2022-07-16","2022-06-20","4 wk ahead inc death"
"GM","quantile",0.01,38,"2022-07-16","2022-06-20","4 wk ahead inc death"
"GM","quantile",0.025,64,"2022-07-16","2022-06-20","4 wk ahead inc death"
"GM","quantile",0.05,92,"2022-07-16","2022-06-20","4 wk ahead inc death"
"GM","quantile",0.1,132,"2022-07-16","2022-06-20","4 wk ahead inc death"
