"location","forecast_date","target","target_end_date","type","quantile","value"
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.01,293000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.01,303000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.01,280000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.01,220000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.025,327000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.025,352000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.025,345000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.025,301000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.05,354000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.05,406000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.05,411000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.05,376000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.1,387000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.1,477000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.1,517000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.1,517000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.15,414000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.15,528000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.15,616000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.15,652000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.2,434000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.2,574000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.2,699000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.2,782000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.25,450000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.25,619000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.25,775000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.25,919000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.3,465000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.3,663000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.3,860000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.3,1060000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.35,482000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.35,701000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.35,939000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.35,1220000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.4,500000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.4,744000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.4,1050000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.4,1390000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.45,515000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.45,787000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.45,1150000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.45,1560000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.5,532000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.5,829000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.5,1240000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.5,1790000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.55,550000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.55,876000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.55,1360000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.55,2040000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.6,567000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.6,927000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.6,1500000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.6,2320000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.65,585000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.65,993000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.65,1610000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.65,2590000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.7,604000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.7,1060000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.7,1800000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.7,3030000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.75,626000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.75,1130000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.75,1990000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.75,3480000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.8,653000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.8,1220000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.8,2250000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.8,4080000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.85,687000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.85,1330000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.85,2570000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.85,4580000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.9,730000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.9,1500000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.9,3120000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.9,4920000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.95,797000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.95,1820000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.95,4100000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.95,5260000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.975,870000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.975,2090000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.975,4800000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.975,5520000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","quantile",0.99,925000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","quantile",0.99,2460000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","quantile",0.99,5210000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","quantile",0.99,5770000
"PL","2022-01-30","1 wk ahead inc case","2022-02-05","point",NA,532000
"PL","2022-01-30","2 wk ahead inc case","2022-02-12","point",NA,829000
"PL","2022-01-30","3 wk ahead inc case","2022-02-19","point",NA,1240000
"PL","2022-01-30","4 wk ahead inc case","2022-02-26","point",NA,1790000
