"location","forecast_date","target","target_end_date","type","quantile","value"
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.01,739000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.01,575000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.01,404000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.01,246000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.025,852000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.025,672000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.025,519000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.025,367000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.05,939000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.05,795000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.05,611000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.05,474000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.1,1070000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.1,934000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.1,786000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.1,654000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.15,1160000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.15,1080000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.15,942000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.15,833000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.2,1230000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.2,1190000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.2,1110000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.2,987000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.25,1290000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.25,1290000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.25,1260000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.25,1180000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.3,1350000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.3,1410000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.3,1390000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.3,1330000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.35,1420000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.35,1530000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.35,1550000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.35,1530000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.4,1480000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.4,1640000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.4,1710000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.4,1740000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.45,1540000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.45,1750000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.45,1880000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.45,1980000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.5,1600000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.5,1860000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.5,2060000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.5,2220000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.55,1670000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.55,1970000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.55,2250000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.55,2490000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.6,1730000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.6,2080000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.6,2460000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.6,2770000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.65,1790000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.65,2210000
"GM","2022-02-06","3 wk ahead inc case","2022-02-26","quantile",0.65,2690000
"GM","2022-02-06","4 wk ahead inc case","2022-03-05","quantile",0.65,3180000
"GM","2022-02-06","1 wk ahead inc case","2022-02-12","quantile",0.7,1870000
"GM","2022-02-06","2 wk ahead inc case","2022-02-19","quantile",0.7,2380000
