"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-03-29,"1 day ahead cum case",2021-03-30,"GM","Germany","point",NA,2796711.766169
2021-03-29,"2 day ahead cum case",2021-03-31,"GM","Germany","point",NA,2814711.895674
2021-03-29,"3 day ahead cum case",2021-04-01,"GM","Germany","point",NA,2838008.536535
2021-03-29,"4 day ahead cum case",2021-04-02,"GM","Germany","point",NA,2867499.620539
2021-03-29,"5 day ahead cum case",2021-04-03,"GM","Germany","point",NA,2894624.441644
2021-03-29,"6 day ahead cum case",2021-04-04,"GM","Germany","point",NA,2912049.990551
2021-03-29,"7 day ahead cum case",2021-04-05,"GM","Germany","point",NA,2926497.231445
2021-03-29,"8 day ahead cum case",2021-04-06,"GM","Germany","point",NA,2943987.634104
2021-03-29,"9 day ahead cum case",2021-04-07,"GM","Germany","point",NA,2966590.345040
2021-03-29,"10 day ahead cum case",2021-04-08,"GM","Germany","point",NA,2995652.744968
2021-03-29,"11 day ahead cum case",2021-04-09,"GM","Germany","point",NA,3032506.211118
2021-03-29,"12 day ahead cum case",2021-04-10,"GM","Germany","point",NA,3065949.513958
2021-03-29,"13 day ahead cum case",2021-04-11,"GM","Germany","point",NA,3086951.215887
2021-03-29,"14 day ahead cum case",2021-04-12,"GM","Germany","point",NA,3104599.503049
2021-03-29,"15 day ahead cum case",2021-04-13,"GM","Germany","point",NA,3126327.505176
2021-03-29,"16 day ahead cum case",2021-04-14,"GM","Germany","point",NA,3154313.298247
2021-03-29,"17 day ahead cum case",2021-04-15,"GM","Germany","point",NA,3190195.645616
2021-03-29,"18 day ahead cum case",2021-04-16,"GM","Germany","point",NA,3235536.286921
2021-03-29,"19 day ahead cum case",2021-04-17,"GM","Germany","point",NA,3276035.113578
2021-03-29,"20 day ahead cum case",2021-04-18,"GM","Germany","point",NA,3301125.056409
2021-03-29,"21 day ahead cum case",2021-04-19,"GM","Germany","point",NA,3322526.772274
2021-03-29,"22 day ahead cum case",2021-04-20,"GM","Germany","point",NA,3349110.852738
2021-03-29,"23 day ahead cum case",2021-04-21,"GM","Germany","point",NA,3383238.135352
2021-03-29,"24 day ahead cum case",2021-04-22,"GM","Germany","point",NA,3426864.863238
2021-03-29,"25 day ahead cum case",2021-04-23,"GM","Germany","point",NA,3481538.923066
2021-03-29,"26 day ahead cum case",2021-04-24,"GM","Germany","point",NA,3529650.426232
2021-03-29,"27 day ahead cum case",2021-04-25,"GM","Germany","point",NA,3559270.997990
2021-03-29,"28 day ahead cum case",2021-04-26,"GM","Germany","point",NA,3584878.118093
2021-03-29,"29 day ahead cum case",2021-04-27,"GM","Germany","point",NA,3616812.064144
2021-03-29,"30 day ahead cum case",2021-04-28,"GM","Germany","point",NA,3657673.507806
2021-03-29,"1 day ahead cum case",2021-03-30,"GM","Germany","quantile","0.01",2790874.948077
2021-03-29,"2 day ahead cum case",2021-03-31,"GM","Germany","quantile","0.01",2806186.489210
2021-03-29,"3 day ahead cum case",2021-04-01,"GM","Germany","quantile","0.01",2826026.284176
2021-03-29,"4 day ahead cum case",2021-04-02,"GM","Germany","quantile","0.01",2854510.436013
