forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-05-10,1 day ahead cum case,2021-05-11,GM,Germany,point,NA,3631440.908271
2021-05-10,2 day ahead cum case,2021-05-12,GM,Germany,point,NA,3631441.097102
2021-05-10,3 day ahead cum case,2021-05-13,GM,Germany,point,NA,3631441.27708
2021-05-10,4 day ahead cum case,2021-05-14,GM,Germany,point,NA,3631441.450068
2021-05-10,5 day ahead cum case,2021-05-15,GM,Germany,point,NA,3631441.613372
2021-05-10,6 day ahead cum case,2021-05-16,GM,Germany,point,NA,3631441.76316
2021-05-10,7 day ahead cum case,2021-05-17,GM,Germany,point,NA,3631441.898144
2021-05-10,8 day ahead cum case,2021-05-18,GM,Germany,point,NA,3631442.020721
2021-05-10,9 day ahead cum case,2021-05-19,GM,Germany,point,NA,3631442.135119
2021-05-10,10 day ahead cum case,2021-05-20,GM,Germany,point,NA,3631442.244425
2021-05-10,11 day ahead cum case,2021-05-21,GM,Germany,point,NA,3631442.348911
2021-05-10,12 day ahead cum case,2021-05-22,GM,Germany,point,NA,3631442.446707
2021-05-10,13 day ahead cum case,2021-05-23,GM,Germany,point,NA,3631442.535949
2021-05-10,14 day ahead cum case,2021-05-24,GM,Germany,point,NA,3631442.616555
2021-05-10,15 day ahead cum case,2021-05-25,GM,Germany,point,NA,3631442.690348
2021-05-10,16 day ahead cum case,2021-05-26,GM,Germany,point,NA,3631442.759704
2021-05-10,17 day ahead cum case,2021-05-27,GM,Germany,point,NA,3631442.825978
2021-05-10,18 day ahead cum case,2021-05-28,GM,Germany,point,NA,3631442.888926
2021-05-10,19 day ahead cum case,2021-05-29,GM,Germany,point,NA,3631442.947404
2021-05-10,20 day ahead cum case,2021-05-30,GM,Germany,point,NA,3631443.00061
2021-05-10,21 day ahead cum case,2021-05-31,GM,Germany,point,NA,3631443.048859
2021-05-10,22 day ahead cum case,2021-06-01,GM,Germany,point,NA,3631443.093376
2021-05-10,23 day ahead cum case,2021-06-02,GM,Germany,point,NA,3631443.135425
2021-05-10,24 day ahead cum case,2021-06-03,GM,Germany,point,NA,3631443.175529
2021-05-10,25 day ahead cum case,2021-06-04,GM,Germany,point,NA,3631443.213369
2021-05-10,26 day ahead cum case,2021-06-05,GM,Germany,point,NA,3631443.248306
2021-05-10,27 day ahead cum case,2021-06-06,GM,Germany,point,NA,3631443.280065
2021-05-10,28 day ahead cum case,2021-06-07,GM,Germany,point,NA,3631443.309012
