"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","point",NA,145
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","point",NA,192
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","point",NA,229
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","point",NA,297
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.01,82
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.01,99
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.01,110
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.01,62
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.025,92
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.025,113
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.025,128
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.025,99
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.05,100
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.05,126
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.05,145
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.05,131
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.1,110
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.1,141
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.1,163
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.1,167
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.15,117
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.15,150
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.15,176
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.15,192
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.2,122
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.2,158
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.2,186
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.2,212
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.25,127
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.25,165
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.25,194
"2021-07-26","4 wk ahead inc death","2021-08-21","GM","quantile",0.25,229
"2021-07-26","1 wk ahead inc death","2021-07-31","GM","quantile",0.3,131
"2021-07-26","2 wk ahead inc death","2021-08-07","GM","quantile",0.3,171
"2021-07-26","3 wk ahead inc death","2021-08-14","GM","quantile",0.3,202
