"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","point",NA,271124
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","point",NA,269013
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","point",NA,266581
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","point",NA,263135
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.01,157037
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.01,0
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.01,0
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.01,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.025,175005
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.025,25896
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.025,0
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.025,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.05,190458
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.05,64983
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.05,0
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.05,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.1,208275
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.1,110048
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.1,0
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.1,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.15,220296
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.15,140453
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.15,15886
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.15,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.2,229850
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.2,164617
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.2,63007
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.2,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.25,238046
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.25,185349
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.25,103434
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.25,0
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.3,245407
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.3,203966
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.3,139738
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.3,52910
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.35,252227
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.35,221218
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.35,173379
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.35,108665
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.4,258700
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.4,237588
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.4,205301
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.4,161571
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.45,264961
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.45,253426
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.45,236186
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.45,212759
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.5,271124
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.5,269013
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.5,266581
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.5,263135
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.55,277287
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.55,284601
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.55,296976
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.55,313511
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.6,283548
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.6,300439
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.6,327861
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.6,364699
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.65,290021
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.65,316809
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.65,359783
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.65,417605
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.7,296841
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.7,334061
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.7,393424
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.7,473361
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.75,304202
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.75,352678
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.75,429728
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.75,533530
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.8,312398
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.8,373409
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.8,470154
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.8,600531
"2022-08-22","1 wk ahead inc case","2022-08-27","GM","quantile",0.85,321952
"2022-08-22","2 wk ahead inc case","2022-09-03","GM","quantile",0.85,397574
"2022-08-22","3 wk ahead inc case","2022-09-10","GM","quantile",0.85,517276
"2022-08-22","4 wk ahead inc case","2022-09-17","GM","quantile",0.85,678628
