"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.01,1454
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.025,1455
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.05,1458
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.1,1463
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.15,1468
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.2,1473
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.25,1478
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.3,1483
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.35,1488
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.4,1493
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.45,1498
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.5,1504
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.55,1509
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.6,1514
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.65,1519
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.7,1524
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.75,1529
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.8,1534
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.85,1539
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.9,1544
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.95,1549
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.975,1552
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","quantile",0.99,1553
"2022-01-17","1 wk ahead inc death","2022-01-22","GM","point",NA,1504
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.01,1053
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.025,1062
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.05,1077
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.1,1106
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.15,1136
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.2,1165
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.25,1195
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.3,1224
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.35,1253
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.4,1283
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.45,1312
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.5,1342
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.55,1371
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.6,1400
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.65,1430
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.7,1459
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.75,1488
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.8,1518
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.85,1547
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.9,1577
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.95,1606
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.975,1621
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","quantile",0.99,1630
"2022-01-17","2 wk ahead inc death","2022-01-29","GM","point",NA,1342
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.01,420
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.025,440
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.05,473
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.1,539
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.15,604
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.2,670
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.25,736
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.3,802
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.35,867
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.4,933
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.45,999
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.5,1065
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.55,1130
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.6,1196
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.65,1262
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.7,1327
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.75,1393
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.8,1459
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.85,1525
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.9,1590
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.95,1656
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.975,1689
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","quantile",0.99,1709
"2022-01-17","3 wk ahead inc death","2022-02-05","GM","point",NA,1065
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.01,15
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.025,39
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.05,78
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.1,156
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.15,234
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.2,312
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.25,390
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.3,468
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.35,546
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.4,624
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.45,702
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.5,781
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.55,859
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.6,937
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.65,1015
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.7,1093
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.75,1171
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.8,1249
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.85,1327
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.9,1405
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.95,1483
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.975,1522
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","quantile",0.99,1546
"2022-01-17","4 wk ahead inc death","2022-02-12","GM","point",NA,781
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.01,14
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.025,35
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.05,70
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.1,141
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.15,211
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.2,282
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.25,353
"2022-01-17","5 wk ahead inc death","2022-02-19","GM","quantile",0.3,423
