"forecast_date","target","target_end_date","location","type","quantile","value"
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.01,194589
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.025,195038
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.05,196430
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.1,198912
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.15,201639
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.2,204676
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.25,208121
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.3,212128
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.35,216975
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.4,223241
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.45,232586
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.5,281977
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.55,331367
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.6,340712
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.65,346978
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.7,351825
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.75,355832
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.8,359277
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.85,362314
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.9,365041
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.95,367523
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.975,368458
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","quantile",0.99,369364
"2022-04-11","1 wk ahead inc case","2022-04-16","GM","point",NA,281977
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.01,1044
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.025,1050
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.05,1066
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.1,1096
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.15,1129
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.2,1165
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.25,1207
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.3,1255
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.35,1313
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.4,1388
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.45,1500
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.5,2092
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.55,2683
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.6,2795
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.65,2870
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.7,2928
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.75,2976
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.8,3018
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.85,3054
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.9,3087
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.95,3117
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.975,3128
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","quantile",0.99,3139
"2022-04-11","2 wk ahead inc case","2022-04-23","GM","point",NA,2092
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.01,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.025,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.05,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.1,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.15,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.2,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.25,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.3,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.35,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.4,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.45,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.5,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.55,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.6,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.65,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.7,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.75,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.8,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.85,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.9,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.95,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.975,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","quantile",0.99,0
"2022-04-11","3 wk ahead inc case","2022-04-30","GM","point",NA,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.01,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.025,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.05,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.1,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.15,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.2,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.25,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.3,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.35,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.4,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.45,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.5,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.55,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.6,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.65,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.7,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.75,0
"2022-04-11","4 wk ahead inc case","2022-05-07","GM","quantile",0.8,0
