forecast_date,target_end_date,target,location,type,quantile,location_name,value
2022-03-21,2022-03-26,1 wk ahead cum case,PL,point,NA,Poland,5946553
2022-03-21,2022-03-26,1 wk ahead inc case,PL,point,NA,Poland,61107
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.01,Poland,5930227
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.025,Poland,5931610
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.05,Poland,5932760
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.1,Poland,5934622
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.15,Poland,5935757
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.2,Poland,5938335
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.25,Poland,5939447
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.3,Poland,5940172
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.35,Poland,5941274
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.4,Poland,5942710
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.45,Poland,5944073
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.5,Poland,5945038
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.55,Poland,5945857
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.6,Poland,5947380
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.65,Poland,5948340
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.7,Poland,5950368
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.75,Poland,5952916
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.8,Poland,5956628
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.85,Poland,5959852
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.9,Poland,5960981
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.95,Poland,5961934
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.975,Poland,5969188
2022-03-21,2022-03-26,1 wk ahead cum case,PL,quantile,0.99,Poland,5971386
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.01,Poland,44781
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.025,Poland,46164
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.05,Poland,47314
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.1,Poland,49176
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.15,Poland,50311
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.2,Poland,52889
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.25,Poland,54000
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.3,Poland,54726
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.35,Poland,55828
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.4,Poland,57264
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.45,Poland,58627
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.5,Poland,59592
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.55,Poland,60411
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.6,Poland,61934
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.65,Poland,62894
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.7,Poland,64922
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.75,Poland,67470
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.8,Poland,71182
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.85,Poland,74406
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.9,Poland,75535
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.95,Poland,76488
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.975,Poland,83742
2022-03-21,2022-03-26,1 wk ahead inc case,PL,quantile,0.99,Poland,85940
2022-03-21,2022-04-02,2 wk ahead cum case,PL,point,NA,Poland,5993699
2022-03-21,2022-04-02,2 wk ahead inc case,PL,point,NA,Poland,47146
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.01,Poland,5957702
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.025,Poland,5960859
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.05,Poland,5964917
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.1,Poland,5968568
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.15,Poland,5970606
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.2,Poland,5974851
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.25,Poland,5977717
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.3,Poland,5979762
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.35,Poland,5981704
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.4,Poland,5984642
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.45,Poland,5987336
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.5,Poland,5990161
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.55,Poland,5992136
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.6,Poland,5995902
2022-03-21,2022-04-02,2 wk ahead cum case,PL,quantile,0.65,Poland,5998034
