forecast_date,target_end_date,target,location,type,quantile,location_name,value
2022-03-21,2022-03-26,1 wk ahead cum death,PL,point,NA,Poland,114979
2022-03-21,2022-03-26,1 wk ahead inc death,PL,point,NA,Poland,773
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.01,Poland,114783
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.025,Poland,114805
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.05,Poland,114823
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.1,Poland,114850
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.15,Poland,114872
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.2,Poland,114890
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.25,Poland,114905
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.3,Poland,114920
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.35,Poland,114936
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.4,Poland,114950
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.45,Poland,114963
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.5,Poland,114974
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.55,Poland,114988
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.6,Poland,115001
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.65,Poland,115010
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.7,Poland,115021
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.75,Poland,115037
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.8,Poland,115056
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.85,Poland,115080
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.9,Poland,115126
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.95,Poland,115167
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.975,Poland,115189
2022-03-21,2022-03-26,1 wk ahead cum death,PL,quantile,0.99,Poland,115212
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.01,Poland,577
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.025,Poland,599
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.05,Poland,617
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.1,Poland,644
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.15,Poland,666
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.2,Poland,684
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.25,Poland,699
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.3,Poland,714
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.35,Poland,730
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.4,Poland,744
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.45,Poland,757
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.5,Poland,768
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.55,Poland,782
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.6,Poland,795
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.65,Poland,804
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.7,Poland,815
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.75,Poland,831
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.8,Poland,850
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.85,Poland,874
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.9,Poland,920
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.95,Poland,961
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.975,Poland,983
2022-03-21,2022-03-26,1 wk ahead inc death,PL,quantile,0.99,Poland,1006
2022-03-21,2022-04-02,2 wk ahead cum death,PL,point,NA,Poland,115691
2022-03-21,2022-04-02,2 wk ahead inc death,PL,point,NA,Poland,712
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.01,Poland,115323
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.025,Poland,115357
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.05,Poland,115389
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.1,Poland,115441
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.15,Poland,115485
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.2,Poland,115518
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.25,Poland,115545
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.3,Poland,115574
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.35,Poland,115600
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.4,Poland,115625
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.45,Poland,115650
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.5,Poland,115673
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.55,Poland,115698
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.6,Poland,115723
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.65,Poland,115743
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.7,Poland,115767
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.75,Poland,115797
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.8,Poland,115834
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.85,Poland,115910
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.9,Poland,116007
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.95,Poland,116081
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.975,Poland,116130
2022-03-21,2022-04-02,2 wk ahead cum death,PL,quantile,0.99,Poland,116168
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.01,Poland,540
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.025,Poland,552
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.05,Poland,566
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.1,Poland,591
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.15,Poland,613
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.2,Poland,628
2022-03-21,2022-04-02,2 wk ahead inc death,PL,quantile,0.25,Poland,640
