forecast_date,target,target_end_date,location,location_name,type,quantile,value
2021-03-25,-1 day ahead cum death,2021-03-24,GM,Germany,observed,NA,75121.830741347
2021-03-25,-1 day ahead inc death,2021-03-24,GM,Germany,observed,NA,200.661628654413
2021-03-25,0 day ahead cum death,2021-03-25,GM,Germany,observed,NA,75328.6230873986
2021-03-25,0 day ahead inc death,2021-03-25,GM,Germany,observed,NA,206.79234605176
2021-03-25,0 wk ahead cum death,2021-03-27,GM,Germany,point,NA,75764.0069424201
2021-03-25,1 day ahead cum death,2021-03-26,GM,Germany,point,NA,75542.3784106718
2021-03-25,1 day ahead inc death,2021-03-26,GM,Germany,point,NA,213.755323273147
2021-03-25,1 wk ahead cum death,2021-04-03,GM,Germany,point,NA,77524.2919237071
2021-03-25,1 wk ahead inc death,2021-04-03,GM,Germany,point,NA,1760.284981287115
2021-03-25,10 day ahead cum death,2021-04-04,GM,Germany,point,NA,77801.9512656696
2021-03-25,10 day ahead inc death,2021-04-04,GM,Germany,point,NA,277.659341962383
2021-03-25,10 wk ahead cum death,2021-06-05,GM,Germany,point,NA,92163.1004741589
2021-03-25,10 wk ahead inc death,2021-06-05,GM,Germany,point,NA,483.6917735895387
2021-03-25,11 day ahead cum death,2021-04-05,GM,Germany,point,NA,78086.2214009686
2021-03-25,11 day ahead inc death,2021-04-05,GM,Germany,point,NA,284.270135299145
2021-03-25,11 wk ahead cum death,2021-06-12,GM,Germany,point,NA,92484.5461205053
2021-03-25,11 wk ahead inc death,2021-06-12,GM,Germany,point,NA,321.4456463466639
2021-03-25,12 day ahead cum death,2021-04-06,GM,Germany,point,NA,78377.0951136812
2021-03-25,12 day ahead inc death,2021-04-06,GM,Germany,point,NA,290.873712712592
2021-03-25,12 wk ahead cum death,2021-06-19,GM,Germany,point,NA,92701.8760581273
2021-03-25,12 wk ahead inc death,2021-06-19,GM,Germany,point,NA,217.3299376219423
2021-03-25,13 day ahead cum death,2021-04-07,GM,Germany,point,NA,78674.0619418059
2021-03-25,13 day ahead inc death,2021-04-07,GM,Germany,point,NA,296.966828124507
2021-03-25,13 wk ahead cum death,2021-06-26,GM,Germany,point,NA,92852.6189212681
2021-03-25,13 wk ahead inc death,2021-06-26,GM,Germany,point,NA,150.7428631404869
2021-03-25,14 day ahead cum death,2021-04-08,GM,Germany,point,NA,78976.8237190411
2021-03-25,14 day ahead inc death,2021-04-08,GM,Germany,point,NA,302.761777235321
2021-03-25,15 day ahead cum death,2021-04-09,GM,Germany,point,NA,79285.0713419918
2021-03-25,15 day ahead inc death,2021-04-09,GM,Germany,point,NA,308.247622950625
2021-03-25,16 day ahead cum death,2021-04-10,GM,Germany,point,NA,79598.5338059961
