date,location,location_name,value
2020-01-22,GM,Germany,0
2020-01-23,GM,Germany,0
2020-01-24,GM,Germany,0
2020-01-25,GM,Germany,0
2020-01-26,GM,Germany,0
2020-01-27,GM,Germany,1
2020-01-28,GM,Germany,4
2020-01-29,GM,Germany,4
2020-01-30,GM,Germany,4
2020-01-31,GM,Germany,5
2020-02-01,GM,Germany,8
2020-02-02,GM,Germany,10
2020-02-03,GM,Germany,12
2020-02-04,GM,Germany,12
2020-02-05,GM,Germany,12
2020-02-06,GM,Germany,12
2020-02-07,GM,Germany,13
2020-02-08,GM,Germany,13
2020-02-09,GM,Germany,14
2020-02-10,GM,Germany,14
2020-02-11,GM,Germany,16
2020-02-12,GM,Germany,16
2020-02-13,GM,Germany,16
2020-02-14,GM,Germany,16
2020-02-15,GM,Germany,16
2020-02-16,GM,Germany,16
2020-02-17,GM,Germany,16
2020-02-18,GM,Germany,16
2020-02-19,GM,Germany,16
2020-02-20,GM,Germany,16
2020-02-21,GM,Germany,16
2020-02-22,GM,Germany,16
2020-02-23,GM,Germany,16
2020-02-24,GM,Germany,16
2020-02-25,GM,Germany,16
2020-02-26,GM,Germany,21
2020-02-27,GM,Germany,26
2020-02-28,GM,Germany,53
2020-02-29,GM,Germany,66
2020-03-01,GM,Germany,117
2020-03-02,GM,Germany,150
2020-03-03,GM,Germany,188
2020-03-04,GM,Germany,240
2020-03-05,GM,Germany,349
2020-03-06,GM,Germany,534
2020-03-07,GM,Germany,684
2020-03-08,GM,Germany,847
2020-03-09,GM,Germany,1112
2020-03-10,GM,Germany,1296
2020-03-11,GM,Germany,1567
2020-03-12,GM,Germany,2369
2020-03-13,GM,Germany,3062
2020-03-14,GM,Germany,3795
2020-03-15,GM,Germany,4838
2020-03-16,GM,Germany,6012
2020-03-17,GM,Germany,7156
2020-03-18,GM,Germany,8198
2020-03-19,GM,Germany,10999
2020-03-20,GM,Germany,13957
2020-03-21,GM,Germany,16662
2020-03-22,GM,Germany,18610
2020-03-23,GM,Germany,22672
2020-03-24,GM,Germany,27436
2020-03-25,GM,Germany,31554
2020-03-26,GM,Germany,36508
2020-03-27,GM,Germany,42288
2020-03-28,GM,Germany,48582
2020-03-29,GM,Germany,52547
2020-03-30,GM,Germany,57298
2020-03-31,GM,Germany,61913
2020-04-01,GM,Germany,67366
2020-04-02,GM,Germany,73522
2020-04-03,GM,Germany,79696
2020-04-04,GM,Germany,85778
2020-04-05,GM,Germany,91714
2020-04-06,GM,Germany,95391
2020-04-07,GM,Germany,99225
2020-04-08,GM,Germany,103228
2020-04-09,GM,Germany,108202
2020-04-10,GM,Germany,113525
2020-04-11,GM,Germany,117658
2020-04-12,GM,Germany,120479
2020-04-13,GM,Germany,123016
2020-04-14,GM,Germany,125098
2020-04-15,GM,Germany,127584
2020-04-16,GM,Germany,130450
2020-04-17,GM,Germany,133830
2020-04-18,GM,Germany,137439
2020-04-19,GM,Germany,139897
2020-04-20,GM,Germany,141672
2020-04-21,GM,Germany,143457
2020-04-22,GM,Germany,145694
2020-04-23,GM,Germany,148046
2020-04-24,GM,Germany,150383
2020-04-25,GM,Germany,152438
2020-04-26,GM,Germany,154175
2020-04-27,GM,Germany,155193
2020-04-28,GM,Germany,156337
2020-04-29,GM,Germany,157641
2020-04-30,GM,Germany,159119
2020-05-01,GM,Germany,160758
2020-05-02,GM,Germany,161703
2020-05-03,GM,Germany,162496
2020-05-04,GM,Germany,163175
2020-05-05,GM,Germany,163860
2020-05-06,GM,Germany,164807
2020-05-07,GM,Germany,166091
2020-05-08,GM,Germany,167300
2020-05-09,GM,Germany,168551
2020-05-10,GM,Germany,169218
2020-05-11,GM,Germany,169575
2020-05-12,GM,Germany,170508
2020-05-13,GM,Germany,171306
2020-05-14,GM,Germany,172239
2020-05-15,GM,Germany,173152
2020-05-16,GM,Germany,173772
2020-05-17,GM,Germany,174355
2020-05-18,GM,Germany,174697
2020-05-19,GM,Germany,175210
2020-05-20,GM,Germany,176007
2020-05-21,GM,Germany,176752
2020-05-22,GM,Germany,177212
2020-05-23,GM,Germany,177850
2020-05-24,GM,Germany,178281
2020-05-25,GM,Germany,178570
2020-05-26,GM,Germany,179002
2020-05-27,GM,Germany,179364
2020-05-28,GM,Germany,179717
2020-05-29,GM,Germany,180458
2020-05-30,GM,Germany,181196
2020-05-31,GM,Germany,181482
2020-06-01,GM,Germany,181815
2020-06-02,GM,Germany,182028
2020-06-03,GM,Germany,182370
2020-06-04,GM,Germany,182764
2020-06-05,GM,Germany,183271
2020-06-06,GM,Germany,183678
2020-06-07,GM,Germany,183979
2020-06-08,GM,Germany,184193
2020-06-09,GM,Germany,184543
2020-06-10,GM,Germany,184861
2020-06-11,GM,Germany,185416
2020-06-12,GM,Germany,185674
2020-06-13,GM,Germany,186022
