date,location,location_name,value
2020-01-22,PL,Poland,0
2020-01-23,PL,Poland,0
2020-01-24,PL,Poland,0
2020-01-25,PL,Poland,0
2020-01-26,PL,Poland,0
2020-01-27,PL,Poland,0
2020-01-28,PL,Poland,0
2020-01-29,PL,Poland,0
2020-01-30,PL,Poland,0
2020-01-31,PL,Poland,0
2020-02-01,PL,Poland,0
2020-02-02,PL,Poland,0
2020-02-03,PL,Poland,0
2020-02-04,PL,Poland,0
2020-02-05,PL,Poland,0
2020-02-06,PL,Poland,0
2020-02-07,PL,Poland,0
2020-02-08,PL,Poland,0
2020-02-09,PL,Poland,0
2020-02-10,PL,Poland,0
2020-02-11,PL,Poland,0
2020-02-12,PL,Poland,0
2020-02-13,PL,Poland,0
2020-02-14,PL,Poland,0
2020-02-15,PL,Poland,0
2020-02-16,PL,Poland,0
2020-02-17,PL,Poland,0
2020-02-18,PL,Poland,0
2020-02-19,PL,Poland,0
2020-02-20,PL,Poland,0
2020-02-21,PL,Poland,0
2020-02-22,PL,Poland,0
2020-02-23,PL,Poland,0
2020-02-24,PL,Poland,0
2020-02-25,PL,Poland,0
2020-02-26,PL,Poland,0
2020-02-27,PL,Poland,0
2020-02-28,PL,Poland,0
2020-02-29,PL,Poland,0
2020-03-01,PL,Poland,0
2020-03-02,PL,Poland,0
2020-03-03,PL,Poland,0
2020-03-04,PL,Poland,1
2020-03-05,PL,Poland,1
2020-03-06,PL,Poland,5
2020-03-07,PL,Poland,5
2020-03-08,PL,Poland,11
2020-03-09,PL,Poland,16
2020-03-10,PL,Poland,22
2020-03-11,PL,Poland,31
2020-03-12,PL,Poland,49
2020-03-13,PL,Poland,68
2020-03-14,PL,Poland,103
2020-03-15,PL,Poland,119
2020-03-16,PL,Poland,177
2020-03-17,PL,Poland,238
2020-03-18,PL,Poland,251
2020-03-19,PL,Poland,355
2020-03-20,PL,Poland,425
2020-03-21,PL,Poland,536
2020-03-22,PL,Poland,634
2020-03-23,PL,Poland,749
2020-03-24,PL,Poland,901
2020-03-25,PL,Poland,1051
2020-03-26,PL,Poland,1221
2020-03-27,PL,Poland,1389
2020-03-28,PL,Poland,1638
2020-03-29,PL,Poland,1862
2020-03-30,PL,Poland,2055
2020-03-31,PL,Poland,2311
2020-04-01,PL,Poland,2554
2020-04-02,PL,Poland,2946
2020-04-03,PL,Poland,3383
2020-04-04,PL,Poland,3627
2020-04-05,PL,Poland,4102
2020-04-06,PL,Poland,4413
2020-04-07,PL,Poland,4848
2020-04-08,PL,Poland,5205
2020-04-09,PL,Poland,5575
2020-04-10,PL,Poland,5955
2020-04-11,PL,Poland,6356
2020-04-12,PL,Poland,6674
2020-04-13,PL,Poland,6934
2020-04-14,PL,Poland,7202
2020-04-15,PL,Poland,7582
2020-04-16,PL,Poland,7918
2020-04-17,PL,Poland,8379
2020-04-18,PL,Poland,8742
2020-04-19,PL,Poland,9287
2020-04-20,PL,Poland,9593
2020-04-21,PL,Poland,9856
2020-04-22,PL,Poland,10169
2020-04-23,PL,Poland,10511
2020-04-24,PL,Poland,10892
2020-04-25,PL,Poland,11273
2020-04-26,PL,Poland,11617
2020-04-27,PL,Poland,11902
2020-04-28,PL,Poland,12218
2020-04-29,PL,Poland,12640
2020-04-30,PL,Poland,12877
2020-05-01,PL,Poland,13105
2020-05-02,PL,Poland,13375
2020-05-03,PL,Poland,13693
2020-05-04,PL,Poland,14006
2020-05-05,PL,Poland,14431
2020-05-06,PL,Poland,14740
2020-05-07,PL,Poland,15047
2020-05-08,PL,Poland,15366
2020-05-09,PL,Poland,15651
2020-05-10,PL,Poland,15996
2020-05-11,PL,Poland,16326
2020-05-12,PL,Poland,16921
2020-05-13,PL,Poland,17204
2020-05-14,PL,Poland,17615
2020-05-15,PL,Poland,18016
2020-05-16,PL,Poland,18257
2020-05-17,PL,Poland,18529
2020-05-18,PL,Poland,18885
2020-05-19,PL,Poland,19268
2020-05-20,PL,Poland,19739
2020-05-21,PL,Poland,20143
2020-05-22,PL,Poland,20619
2020-05-23,PL,Poland,20931
2020-05-24,PL,Poland,21326
2020-05-25,PL,Poland,21631
2020-05-26,PL,Poland,22074
2020-05-27,PL,Poland,22473
2020-05-28,PL,Poland,22825
2020-05-29,PL,Poland,23155
2020-05-30,PL,Poland,23571
2020-05-31,PL,Poland,23786
2020-06-01,PL,Poland,24165
2020-06-02,PL,Poland,24395
2020-06-03,PL,Poland,24687
2020-06-04,PL,Poland,25048
2020-06-05,PL,Poland,25410
2020-06-06,PL,Poland,25986
2020-06-07,PL,Poland,26561
2020-06-08,PL,Poland,27160
2020-06-09,PL,Poland,27560
2020-06-10,PL,Poland,27842
2020-06-11,PL,Poland,28201
2020-06-12,PL,Poland,28577
2020-06-13,PL,Poland,29017
2020-06-14,PL,Poland,29392
2020-06-15,PL,Poland,29788
2020-06-16,PL,Poland,30195
