date ,group_0_17 ,group_18_29 ,group_30_39 ,group_40_49 ,group_50_59 ,group_60_69 ,group_70_79 ,group_80_plus
2021-05-06   ,NA         ,0.009       ,0.03        ,0.082       ,0.218       ,0.319       ,0.266       ,0.076
2021-05-20   ,0.004      ,0.012       ,0.027       ,0.079       ,0.228       ,0.318       ,0.26        ,0.071
2021-05-27   ,0.003      ,0.013       ,0.027       ,0.081       ,0.217       ,0.325       ,0.263       ,0.072
2021-06-03   ,0.003      ,0.013       ,0.034       ,0.079       ,0.227       ,0.351       ,0.231       ,0.062
2021-06-10   ,0.006      ,0.015       ,0.038       ,0.09        ,0.228       ,0.343       ,0.226       ,0.055
2021-06-18   ,0.004      ,0.016       ,0.043       ,0.096       ,0.233       ,0.349       ,0.214       ,0.046
2021-06-25   ,0.004      ,0.016       ,0.044       ,0.105       ,0.231       ,0.359       ,0.194       ,0.048
2021-07-02, 0.004, 0.025, 0.041, 0.11, 0.253, 0.349, 0.185, 0.034
2021-07-09, 0.007, 0.026, 0.035, 0.117, 0.247, 0.358, 0.182, 0.028
2021-07-15, 0.008, 0.028, 0.039, 0.095, 0.242, 0.355, 0.19, 0.044
