date,location,location_name,value
2021-04-16,GM,Germany,79628
2021-04-16,GM01,Baden-Württemberg State,9022
2021-04-16,GM02,Free State of Bavaria,13684
2021-04-16,GM03,Free Hanseatic City of Bremen,433
2021-04-16,GM04,Free Hanseatic City of Hamburg,1427
2021-04-16,GM05,Hesse State,6585
2021-04-16,GM06,Lower Saxony State,5112
2021-04-16,GM07,North Rhine-Westphalia State,14813
2021-04-16,GM08,Rhineland-Palatinate State,3434
2021-04-16,GM09,Saarland State,942
2021-04-16,GM10,Schleswig-Holstein State,1473
2021-04-16,GM11,Brandenburg State,3436
2021-04-16,GM12,Mecklenburg-Western Pomerania State,921
2021-04-16,GM13,Free State of Saxony,8697
2021-04-16,GM14,Sachsen-Anhalt State,2900
2021-04-16,GM15,Free State of Thuringia,3607
2021-04-16,GM16,Berlin State,3142
