,date,location,location_name,value
0,2020-02-04,GM,Germany,0
1,2020-02-04,GM02,Free State of Bavaria,0
2,2020-02-05,GM,Germany,0
3,2020-02-05,GM02,Free State of Bavaria,0
4,2020-02-06,GM,Germany,0
5,2020-02-06,GM02,Free State of Bavaria,0
6,2020-02-07,GM,Germany,0
7,2020-02-07,GM02,Free State of Bavaria,0
8,2020-02-08,GM,Germany,0
9,2020-02-08,GM02,Free State of Bavaria,0
10,2020-02-09,GM,Germany,0
11,2020-02-09,GM02,Free State of Bavaria,0
12,2020-02-10,GM,Germany,0
13,2020-02-10,GM02,Free State of Bavaria,0
14,2020-02-11,GM,Germany,0
15,2020-02-11,GM02,Free State of Bavaria,0
16,2020-02-12,GM,Germany,2
17,2020-02-12,GM02,Free State of Bavaria,2
18,2020-02-13,GM,Germany,2
19,2020-02-13,GM02,Free State of Bavaria,2
20,2020-02-14,GM,Germany,2
21,2020-02-14,GM02,Free State of Bavaria,2
22,2020-02-15,GM,Germany,2
23,2020-02-15,GM02,Free State of Bavaria,2
24,2020-02-16,GM,Germany,2
25,2020-02-16,GM02,Free State of Bavaria,2
26,2020-02-17,GM,Germany,2
27,2020-02-17,GM02,Free State of Bavaria,2
28,2020-02-18,GM,Germany,2
29,2020-02-18,GM02,Free State of Bavaria,2
30,2020-02-19,GM,Germany,2
31,2020-02-19,GM02,Free State of Bavaria,2
32,2020-02-20,GM,Germany,2
33,2020-02-20,GM02,Free State of Bavaria,2
34,2020-02-21,GM,Germany,2
35,2020-02-21,GM02,Free State of Bavaria,2
36,2020-02-22,GM,Germany,2
37,2020-02-22,GM02,Free State of Bavaria,2
38,2020-02-23,GM,Germany,2
39,2020-02-23,GM02,Free State of Bavaria,2
40,2020-02-24,GM,Germany,2
41,2020-02-24,GM01,Baden-Württemberg State,0
42,2020-02-24,GM02,Free State of Bavaria,2
43,2020-02-24,GM03,Free Hanseatic City of Bremen,0
44,2020-02-24,GM04,Free Hanseatic City of Hamburg,0
45,2020-02-24,GM05,Hesse State,0
46,2020-02-24,GM06,Lower Saxony State,0
47,2020-02-24,GM07,North Rhine-Westphalia State,0
48,2020-02-24,GM08,Rhineland-Palatinate State,0
49,2020-02-24,GM09,Saarland State,0
50,2020-02-24,GM10,Schleswig-Holstein State,0
51,2020-02-24,GM11,Brandenburg State,0
52,2020-02-24,GM12,Mecklenburg-Western Pomerania State,0
53,2020-02-24,GM13,Free State of Saxony,0
54,2020-02-24,GM14,Sachsen-Anhalt State,0
55,2020-02-24,GM15,Free State of Thuringia,0
56,2020-02-24,GM16,Berlin State,0
57,2020-02-25,GM,Germany,4
58,2020-02-25,GM01,Baden-Württemberg State,1
59,2020-02-25,GM02,Free State of Bavaria,2
60,2020-02-25,GM03,Free Hanseatic City of Bremen,0
61,2020-02-25,GM04,Free Hanseatic City of Hamburg,0
62,2020-02-25,GM05,Hesse State,0
63,2020-02-25,GM06,Lower Saxony State,0
64,2020-02-25,GM07,North Rhine-Westphalia State,1
65,2020-02-25,GM08,Rhineland-Palatinate State,0
66,2020-02-25,GM09,Saarland State,0
67,2020-02-25,GM10,Schleswig-Holstein State,0
68,2020-02-25,GM11,Brandenburg State,0
69,2020-02-25,GM12,Mecklenburg-Western Pomerania State,0
70,2020-02-25,GM13,Free State of Saxony,0
71,2020-02-25,GM14,Sachsen-Anhalt State,0
72,2020-02-25,GM15,Free State of Thuringia,0
73,2020-02-25,GM16,Berlin State,0
74,2020-02-26,GM,Germany,7
75,2020-02-26,GM01,Baden-Württemberg State,3
76,2020-02-26,GM02,Free State of Bavaria,2
77,2020-02-26,GM03,Free Hanseatic City of Bremen,0
78,2020-02-26,GM04,Free Hanseatic City of Hamburg,0
79,2020-02-26,GM05,Hesse State,0
80,2020-02-26,GM06,Lower Saxony State,0
81,2020-02-26,GM07,North Rhine-Westphalia State,2
82,2020-02-26,GM08,Rhineland-Palatinate State,0
83,2020-02-26,GM09,Saarland State,0
84,2020-02-26,GM10,Schleswig-Holstein State,0
85,2020-02-26,GM11,Brandenburg State,0
86,2020-02-26,GM12,Mecklenburg-Western Pomerania State,0
87,2020-02-26,GM13,Free State of Saxony,0
88,2020-02-26,GM14,Sachsen-Anhalt State,0
89,2020-02-26,GM15,Free State of Thuringia,0
90,2020-02-26,GM16,Berlin State,0
91,2020-02-27,GM,Germany,12
92,2020-02-27,GM01,Baden-Württemberg State,6
93,2020-02-27,GM02,Free State of Bavaria,2
94,2020-02-27,GM03,Free Hanseatic City of Bremen,0
95,2020-02-27,GM04,Free Hanseatic City of Hamburg,0
96,2020-02-27,GM05,Hesse State,0
97,2020-02-27,GM06,Lower Saxony State,0
98,2020-02-27,GM07,North Rhine-Westphalia State,4
99,2020-02-27,GM08,Rhineland-Palatinate State,0
100,2020-02-27,GM09,Saarland State,0
101,2020-02-27,GM10,Schleswig-Holstein State,0
102,2020-02-27,GM11,Brandenburg State,0
103,2020-02-27,GM12,Mecklenburg-Western Pomerania State,0
104,2020-02-27,GM13,Free State of Saxony,0
105,2020-02-27,GM14,Sachsen-Anhalt State,0
106,2020-02-27,GM15,Free State of Thuringia,0
107,2020-02-27,GM16,Berlin State,0
108,2020-02-28,GM,Germany,39
109,2020-02-28,GM01,Baden-Württemberg State,10
110,2020-02-28,GM02,Free State of Bavaria,3
111,2020-02-28,GM03,Free Hanseatic City of Bremen,0
112,2020-02-28,GM04,Free Hanseatic City of Hamburg,0
113,2020-02-28,GM05,Hesse State,0
114,2020-02-28,GM06,Lower Saxony State,0
115,2020-02-28,GM07,North Rhine-Westphalia State,25
116,2020-02-28,GM08,Rhineland-Palatinate State,0
