week,A.23.1_count,A.27_count,B.1.1.318_count,B.1.427_count,B.1.429_count,B.1.525_count,B.1.526_count,B.1.617.1_count,B.1.620_count,P2_count,P.3_count
01,0,0,0,0,0,0,0,0,0,0,0
02,0,1,0,0,0,0,0,0,0,1,0
03,0,1,1,0,0,1,0,0,0,2,0
04,0,5,1,0,0,6,0,0,0,3,0
05,0,1,0,0,0,10,0,0,0,3,0
06,1,9,0,3,0,16,0,0,1,1,0
07,0,1,4,0,0,18,1,0,0,0,0
08,5,17,0,0,0,13,0,0,0,0,0
09,4,39,11,1,3,18,1,1,0,0,0
10,1,40,19,0,1,19,0,1,0,0,0
11,1,36,22,0,0,42,0,2,0,0,4
12,0,25,39,0,0,39,0,2,0,0,3
13,0,12,11,0,0,39,0,0,0,0,1
14,0,11,22,0,0,39,0,3,0,0,2
15,0,11,63,0,1,53,0,5,4,0,0
16,0,7,71,0,0,41,0,11,2,0,0
17,0,5,39,0,0,30,4,17,0,0,0
18,0,3,65,0,0,60,1,18,6,0,0
19,0,4,81,0,0,27,0,3,3,0,0
20,0,2,24,0,1,12,0,8,4,0,0
21,0,1,11,0,0,3,1,0,2,0,0
