week,A.23.1_count,A.27_count,B.1.1.318_count,B.1.427_count,B.1.429_count,B.1.525_count,B.1.526_count,B.1.617.1_count,B.1.620_count,P.2_count,P.3_count
01,0,0,0,0,0,0,0,0,0,0,0
02,0,1,0,0,0,0,0,0,0,1,0
03,0,1,1,0,1,1,0,0,0,2,0
04,0,5,1,0,1,6,0,0,0,3,0
05,0,1,0,0,1,9,0,0,0,3,0
06,1,10,2,3,0,16,0,0,0,1,0
07,0,1,4,0,0,17,1,0,0,0,0
08,5,17,0,0,0,14,0,0,2,0,0
09,4,39,12,1,3,19,1,5,0,0,0
10,1,41,19,0,1,19,1,2,0,0,0
11,1,37,21,0,0,41,12,4,1,0,4
12,0,25,44,0,0,40,8,2,0,0,3
13,0,12,16,0,0,39,8,3,1,0,1
14,0,12,23,0,0,39,11,2,0,0,2
15,0,11,68,0,1,54,12,7,4,0,0
16,0,9,77,0,0,47,6,12,2,0,0
17,0,6,37,0,0,36,5,21,0,0,0
18,0,3,67,0,0,71,11,28,6,0,0
19,0,4,86,0,0,28,3,6,3,0,0
20,0,2,28,0,1,14,1,9,4,0,0
21,0,1,19,0,0,5,1,1,2,0,0
22,0,0,15,0,0,10,4,3,1,0,0
