week,A.27_proportion,B.1.1.318_proportion,B.1.429_proportion,B.1.525_proportion,B.1.526_proportion,B.1.617.1_proportion,B.1.620_proportion,C.36.3_proportion,C.37_proportion,P.3_proportion
14,0.3,0.6,0,1.0,0.3,0.1,0,0.1,0.2,0.1
15,0.2,1.5,0,1.2,0.3,0.2,0.1,0.2,0.1,0
16,0.2,1.6,0,1.0,0.1,0.2,0,0.2,0.1,0
17,0.2,0.9,0,0.9,0.1,0.5,0,0.2,0.2,0
18,0.1,1.4,0,1.4,0.2,0.6,0.1,0.4,0.1,0
19,0.1,2.3,0,0.7,0.1,0.2,0.1,0.5,0.2,0
20,0.1,0.8,0,0.4,0,0.2,0.1,0.2,0.1,0
21,0.1,0.7,0,0.2,0,0,0.1,0.4,0.1,0
22,0.2,0.9,0,0.8,0.2,0.2,0.1,0.5,0.2,0
23,0,1.7,0,1.0,0,0.5,0,1.7,0.1,0
