week,A.23.1_count,A.23.1_proportion,A.27_count,A.27_proportion,B.1.1.318_count,B.1.1.318_proportion,B.1.324.1_count,B.1.324.1_proportion,B.1.427_count,B.1.427_proportion,B.1.429_count,B.1.429_proportion,B.1.525_count,B.1.525_proportion,B.1.526_count,B.1.526_proportion,B.1.617.1_count,B.1.617.1_proportion,B.1.620_count,B.1.620_proportion,C.36.3_count,C.36.3_proportion,C.37_count,C.37_proportion,P.2_count,P.2_proportion,P.3_count,P.3_proportion
1,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,0,0.0,1,0.2,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0
3,0,0.0,1,0.1,1,0.1,0,0,0,0.0,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0
4,0,0.0,5,0.2,1,0.0,0,0,0,0.0,1,0.0,6,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.1,0,0.0
5,0,0.0,1,0.0,0,0.0,0,0,0,0.0,1,0.0,9,0.3,0,0.0,0,0.0,0,0.0,0,0.0,2,0.1,3,0.1,0,0.0
6,1,0.0,10,0.3,2,0.1,0,0,3,0.1,0,0.0,16,0.5,0,0.0,0,0.0,0,0.0,0,0.0,4,0.1,1,0.0,0,0.0
7,0,0.0,1,0.0,4,0.1,0,0,0,0.0,0,0.0,17,0.5,1,0.0,0,0.0,0,0.0,0,0.0,4,0.1,0,0.0,0,0.0
8,5,0.1,17,0.4,0,0.0,0,0,0,0.0,0,0.0,14,0.3,0,0.0,0,0.0,2,0.0,0,0.0,10,0.2,0,0.0,0,0.0
9,4,0.1,39,1.0,12,0.3,0,0,1,0.0,3,0.1,19,0.5,1,0.0,5,0.1,0,0.0,0,0.0,3,0.1,0,0.0,0,0.0
10,1,0.0,41,1.1,19,0.5,0,0,0,0.0,1,0.0,19,0.5,1,0.0,2,0.1,0,0.0,1,0.0,10,0.3,0,0.0,0,0.0
11,1,0.0,37,0.9,21,0.5,0,0,0,0.0,0,0.0,41,1.0,12,0.3,4,0.1,1,0.0,1,0.0,6,0.1,0,0.0,4,0.1
12,0,0.0,25,0.7,44,1.2,0,0,0,0.0,0,0.0,40,1.1,8,0.2,2,0.1,0,0.0,1,0.0,1,0.0,0,0.0,3,0.1
13,0,0.0,12,0.3,16,0.4,0,0,0,0.0,0,0.0,39,1.0,8,0.2,3,0.1,1,0.0,2,0.1,7,0.2,0,0.0,1,0.0
14,0,0.0,12,0.3,23,0.6,0,0,0,0.0,0,0.0,39,1.0,11,0.3,2,0.1,0,0.0,5,0.1,9,0.2,0,0.0,2,0.1
15,0,0.0,11,0.2,68,1.5,0,0,0,0.0,1,0.0,54,1.2,12,0.3,7,0.2,4,0.1,11,0.2,3,0.1,0,0.0,0,0.0
16,0,0.0,9,0.2,77,1.6,0,0,0,0.0,0,0.0,47,1.0,6,0.1,12,0.2,2,0.0,8,0.2,4,0.1,0,0.0,0,0.0
17,0,0.0,6,0.2,37,0.9,0,0,0,0.0,0,0.0,36,0.9,5,0.1,21,0.5,0,0.0,6,0.2,8,0.2,0,0.0,0,0.0
18,0,0.0,3,0.1,67,1.4,0,0,0,0.0,0,0.0,71,1.4,11,0.2,28,0.6,6,0.1,20,0.4,5,0.1,0,0.0,0,0.0
19,0,0.0,4,0.1,86,2.3,0,0,0,0.0,0,0.0,28,0.7,3,0.1,6,0.2,3,0.1,19,0.5,8,0.2,0,0.0,0,0.0
20,0,0.0,2,0.1,29,0.8,0,0,0,0.0,1,0.0,14,0.4,1,0.0,9,0.2,4,0.1,7,0.2,2,0.1,0,0.0,0,0.0
21,0,0.0,2,0.1,20,0.7,0,0,0,0.0,0,0.0,6,0.2,1,0.0,1,0.0,2,0.1,10,0.4,4,0.1,0,0.0,0,0.0
22,0,0.0,3,0.2,17,0.9,0,0,0,0.0,0,0.0,15,0.8,4,0.2,4,0.2,1,0.1,10,0.5,4,0.2,0,0.0,0,0.0
23,0,0.0,0,0.0,13,1.7,0,0,0,0.0,0,0.0,8,1.0,0,0.0,4,0.5,0,0.0,13,1.7,1,0.1,0,0.0,0,0.0
