week,A.23.1_proportion,A.27_proportion,B.1.1.318_proportion,B.1.427_proportion,B.1.429_proportion,B.1.525_proportion,B.1.526_proportion,B.1.617.1_proportion,B.1.620_proportion,P.2_proportion,P.3_proportion,C.36.3_proportion,C.37_proportion
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,
5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,
6,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,
7,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,
8,0.01,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,
9,0.01,0.05,0.02,0.0,0.0,0.03,0.0,0.01,0.0,0.0,0.0,,
10,0.0,0.06,0.03,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,
11,0.0,0.05,0.03,0.0,0.0,0.06,0.02,0.01,0.0,0.0,0.01,,
12,0.0,0.03,0.06,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,,
13,0.0,0.02,0.02,0.0,0.0,0.05,0.01,0.0,0.0,0.0,0.0,,
14,,0.3,0.6,,0,1.0,0.3,0.1,0,,0.1,0.1,0.2
15,,0.2,1.5,,0,1.2,0.3,0.2,0.1,,0,0.2,0.1
16,,0.2,1.6,,0,1.0,0.1,0.2,0,,0,0.2,0.1
17,,0.2,0.9,,0,0.9,0.1,0.5,0,,0,0.2,0.2
18,,0.1,1.4,,0,1.4,0.2,0.6,0.1,,0,0.4,0.1
19,,0.1,2.3,,0,0.7,0.1,0.2,0.1,,0,0.5,0.2
20,,0.1,0.8,,0,0.4,0,0.2,0.1,,0,0.2,0.1
21,,0.1,0.7,,0,0.2,0,0,0.1,,0,0.4,0.1
22,,0.2,0.9,,0,0.8,0.2,0.2,0.1,,0,0.5,0.2
23,,0,1.7,,0,1.0,0,0.5,0,,0,1.7,0.1
